Total Timestep (Training Duration),100000
Number of Collisions,3
Interventions/Eps,"[0,476,324,378,280,169,67,81,127,28,20,7,6,33,9,3,3,1,1,2,4,0,3,1,1,12,0,16,2,2,12,14,12,3,9,11,3,2,11,5,6,21,17,23,4,5,3,6,4,1,10,1,16,16,4,5,13,12,14,11,15,10,9,1,11,2,3,2,1,13,2,2,8,5,1,18,14,14,7,36,33,17,13,3,0,2,0,3,7,5,16,8,9,11,14,0,10,1,4,14,6,10,8,7,9,8,13,4,9,16,5,12,0,22,18,18,1,0,1,7,34,0,1,8,21,5,3,]"
