Total Timestep (Training Duration),100000
Number of Collisions,1
Interventions/Eps,"[0,465,554,466,108,187,150,77,153,44,3,6,30,45,2,26,1,0,5,1,0,1,2,0,49,1,13,11,8,4,13,3,4,2,5,13,2,0,1,1,5,14,3,9,13,11,11,3,3,1,11,6,6,7,10,31,19,6,32,2,1,3,4,13,4,23,6,10,9,7,20,10,19,8,16,2,4,5,2,1,2,7,18,11,18,1,3,10,4,8,5,10,18,8,9,14,5,7,17,26,31,31,0,4,1,]"
