Total Timestep (Training Duration),100000
Number of Collisions,3
Interventions/Eps,"[0,393,480,355,321,106,2,66,7,3,66,11,1,3,0,15,54,1,10,13,14,7,2,17,15,14,26,1,14,2,8,23,14,23,10,0,0,4,4,0,0,1,9,14,23,10,9,5,0,4,13,19,17,10,4,23,15,21,31,20,21,5,3,15,1,1,3,5,3,18,5,10,9,12,6,5,5,3,13,5,2,5,3,12,7,16,22,11,4,11,12,1,11,4,2,14,0,4,5,6,13,32,16,21,5,9,10,7,34,14,18,5,8,2,13,21,11,14,11,3,4,8,27,25,2,]"
