Total Timestep (Training Duration),300000
Number of Collisions,2
Interventions/Eps,"[0,447,524,545,333,280,94,99,36,47,9,4,31,42,0,4,3,1,10,0,3,4,2,1,5,9,11,61,45,2,1,0,0,5,6,1,3,16,9,4,3,7,10,11,9,8,10,1,2,4,14,14,10,4,6,9,31,8,30,37,17,23,29,18,12,13,10,8,0,16,3,10,0,0,10,9,6,3,16,2,14,3,29,18,10,20,12,4,1,12,10,6,0,3,1,2,11,10,14,17,24,22,28,14,14,2,0,9,34,4,6,0,0,2,10,1,18,15,5,3,24,6,12,1,4,16,23,18,10,13,21,37,19,35,28,29,25,25,13,17,26,30,30,30,31,28,21,29,31,28,15,14,12,12,12,10,31,15,27,14,11,12,7,10,5,10,19,2,4,12,22,3,4,16,0,10,7,10,6,3,5,24,21,23,9,2,3,7,6,21,54,23,18,17,23,20,16,8,3,0,3,4,0,7,11,7,3,4,9,12,4,4,4,11,8,13,14,20,3,1,2,11,17,20,15,11,23,17,37,26,20,26,20,17,37,29,18,14,24,39,15,26,22,22,16,23,17,27,15,9,11,13,11,20,21,9,11,14,3,5,2,8,14,5,6,4,12,1,5,13,25,20,16,24,22,18,16,16,12,18,10,22,14,13,15,24,25,23,26,18,11,29,22,15,28,18,36,38,30,12,31,8,24,12,20,19,10,21,13,13,27,13,18,17,18,16,20,15,4,10,3,16,9,18,23,18,]"
